#aapstorm this election reminds me of 300 dialogue. 'immortals? we put their name to the test',1,1
the joke is on us delhi.free wifi only for 30 minutes&amp; not for private use http://t.co/luhipim034 #aapsweep #aapstorm http://t.co/godfpm2i9r,2,2
"before fielding bedi, bjp should have known that delhi isn't 'safe' for women. #aapsweep #aapstorm #aapkidilli #kiskidilli",2,1
"#aap tsunami wrecks #bjp, congress; others mock at #modi http://t.co/nvk6zu6oxs #aapstorm #aapsweep #aapkidilli #delhidecides",2,2
"with #aapsweep &amp; #aapstorm the new experiment has wings, and rather huge wings. congratulations @arvindkejriwal and all the best!",2,2
"#aapstorm it is said dat mr.shah has presented delhi2bride groom of his son since she is aap supporter(lighter note),@aamaadmiparty @aajtak",2,2
arvind kejriwal's 49th day resignation turned out to be blessing in disguise.. 67 out of 'kin 70 seats.. #aapsweep #aapstorm #delhidecides,2,2
"if you thought that 3jp bhakts will stop ""save this tweet"" kind of remarks, you were wrong. #aapsweep #aapstorm https://t.co/3ww08jdl5u",2,1
. @anisaz9_basit @aapraigad @ndtv probable wrong info. aiadmk sweeped 1991 tamil nadu election with 96.3% score. #aapsweep #aapstorm,1,1
@timesnow #aapstorm. where is nirmala now after spouting venoms on ak?,1,1
the #aapstorm and the vacuum cleaner http://t.co/40amso0az8,1,1
"delhites enjoy ur free water free wifi free electricity,1500000 cctv cameras from 15th onwords #aapsweep #delhidecides #aapstorm #kiskidilli",2,1
"seeing ""corporate labors"" favoring the aam aadmi party. its quite nice. after all stalin &amp; lenin has died &amp; kejriwal is born ! #aapstorm",2,1
#aapstorm: kejriwal now after becoming cm realises he needs bjp &amp; modi at center. how much lies he told before election? watch him ahead...,2,1
any guesses on two people who won't be in the vip enclosure at next year's republic day parade? one is obama.. the other is..#aapstorm,2,1
"yugpurush always follow ""early to bed and early to rise -he surely has very less or no interest in his wife "" #aapstorm",2,2
"#aap has to thank kiran bedi for this...the minute she stood as the bjp candidate, everyone chose aap over #bjp #aapstorm",2,2
#aapstorm in delhi... soon v could smell the change :d #fingerscrossed,2,1
@the__utkarsh @bunlimted hight of positive thinking #aapstorm #aapsweep,2,2
a good supporter is who ask questions from its own party instead of other #mypmnamo #aapsweep #aapstorm,2,2
"#aapsweep #aapstorm #delhidecides @rashtrapatibhvn gifted ""constitution of india"" book to @arvindkejriwal any guess why ??",1,1
#aap win shattered myth of #modi 's invincibility: @aapyogendra http://t.co/lyworqod8e #aapstorm #aapsweep #aapkidilli #delhidecides,2,2
this is politically correct move by #aap first refused support &amp; did exactly the opposite. #aapsweep #aapstorm. http://t.co/h7elc0qgw1.,2,2
@timesofindia then hv to face the consequence #aapstorm,1,1
"to be a winner, all you have to give is all you have. @arvindkejriwal deserves #aapkidilli #aapocalypse #aapsweep #aapstorm",1,1
@economictimes preamble to road shows of dharnas and fasts?! #aapstorm,1,1
rt @aapinnews: delhi polls: arvind kejriwal astutely turned it around - http://t.co/b9wyrwcft2 #aapsweep #aapstorm,2,2
"aap leader manish sisodia thanks delhi voters, conducts a road show in khichripur #aapstorm",1,1
14k real gold #nipple #ring with bezel setting... http://t.co/uzijxgsdkz rt #overstock - http://t.co/m1zwufpijv #aapsweep #yungklasmeytmong,1,1
"fm being labelled deserter to being crowned d cm, wat a comeback! #5saalkejriwal #aapstorm #delhidecides",2,1
delhi chief secy greets ak with a bouquet. ak greets him with aap's manifesto :-) #aapsweep #aapstorm,1,1
many records broken.now break the record of performance.outperform &amp; set an example.#aapstorm,2,1
@bjp4india's internal assessment is more funnier than #aibroast! #5saalkejriwal #aapsweep #aapstorm #feb10witharnab https://t.co/aci8vvu1ie,1,1
so @thekiranbedi can go home &amp; open a new file on @arvindkejriwal's governance! she is fit only for that! #5saalkejriwal #aapsweep #aapstorm,2,2
the never before poll results assert that aap ver 2.0 is released with bug fixes #aapsweep #aapkidilli #aapstorm #aap #arvindkejriwal,1,1
#aapsweep #aapstorm it was a 3 hrs (8 to 11am) horror film for bjp &amp; congress and it was a 3 hrs thriller film for whole country.,2,2
@arvindkejriwal @narendramodi please make encroachments on public places a cognizable offence. its need of the hour!#bjp #aap #aapstorm,1,2
there are more number of fast bowlers in india than there are congress voters in delhi. #aapsweep #aapstorm,2,1
arvind #kejriwal 2.0 gets into action http://t.co/dpv6t9usun #aapsweep #1daytomsg #vdaywith2izza happy hug day #aapstorm modi assam #aap,2,2
#aapsweep #aapstorm we are here to make delhi better @msisodia after aap sweep http://t.co/elqa4xce6l http://t.co/d4fbqrkrii @aapforindia,2,2
"raj thackeray at his best:after udhav, its raj's turn now! #aapsweep #aapstorm http://t.co/h2qijqqkro",2,2
#aapstorm did arnab congratulate any party before? he use to say all these days he won't accept appreciation from parties nor appreciate,1,1
rt @drunkvinodmehta: why aap used only green &amp; white balloons? was there a hidden message? #aapstorm #aapsweep http://t.co/vnwkb57ybi,1,1
#delhidecides:this is definitely our #photooftheday after the #aapstorm yesterday! for more- http://t.co/omiztklncu http://t.co/ajrse5evmy,1,1
only an engg student knows that taking drop of 1 yr can give better results #aapsweep #aapstorm #kejriwal,2,1
@rifatjawaid @timesnow so pm modi is the 1st living god of bjp &amp; its d 1st temple of a living god #aapstorm #aapsweep #delhidecides epic !!,1,2
only engineers know the value of 1 year gap... kejriwal proves. #aapstorm,2,2
"ache din over, dharna din shuru ;-p ;-p #aapsweep #delhidecides #aapstorm #kiskidilli @narendramodi @arvindkejriwal",1,2
which aap volunteer(s) do you want to thank for the 2015 delhi assembly win of aap? http://t.co/9jsg4lgufr #aapsweep #aapkidilli #aapstorm,1,1
@aapyogendra take bow. you are the best of the world. your prediction was the best :-) #aapstorm,2,2
big factor for bjp's defeat is anti bedi group with in the party.they'ven't supported her.it was totally negative voting in delhi #aapstorm,2,1
"@timesnow #aapstorm #feb10witharnab now d actual analysis is out. bjp lost nt bcoz aap won, bt due 2 internal fighting. cong too 4 same",2,2
"delhites have given ""thumbs up"" sign to @arvindkejriwal 's approach of bottom to top ! #aapstorm #aapkidilli",1,1
this defeat for @bjp4india was much much needed. what's a democracy without any objections and opposition? #aapsweep #aapstorm,1,1
bjp to introspect on unexpected defeat: #satishupadhyay http://t.co/77zr3pw5fe #aapstorm #aapsweep #aapkidilli #delhidecides,2,1
@timesnow #aapstorm #feb10witharnab &amp;similar anchors/channels conspired to keep india chaotic so that they are relevant @swapan55 @swamy39,1,2
"the same citizens who had voted for modi in the parliament election, now voted out bjp. never forget the people and the promise #aapstorm",1,2
"#aapstorm. #feb10witharnab now blaming rk puram govt. employees for the bjp defeat, sad such techniques are at place.",2,2
#aapsweep delhi election becoz they promise reduce power price and i can sleep peacefully in ac. #aapstorm #delhidecides z-plus modi,2,1
an incredible man mr kejriwal!! you are a great role model for all of us!!#aapstorm #aap @arvindkejriwal http://t.co/caczzj7f15,2,2
@aamaadmiparty lets make the delhi a better place. #aapsweep #aapstorm http://t.co/kc1nckfnqt,1,2
"#aapstorm #aapsweep if out of 67 mlas of #aap 44 are crorepati and 23 are having criminal cases, how is #kejriwal different?",1,1
hoping @arvindkejriwal will set an example by making delhi an #aadarshstate &amp; development ka inter-state competition ho. #aapsweep #aapstorm,1,1
.sangis r criticising the green color in this ....aapsolute whiner = bjp .....#aapsweep #delhidecides #aapstorm http://t.co/eivcykmnnj,1,1
"@timesnow #aapstorm #feb10witharnab idk why bjp is so hesitatiing now.""jo delhi ka mood hai wahi desh ka mood hai""mr modi himself said.",1,1
it's not a simple broom but a vacuum cleaner. @arvindkejriwal #aapstorm,1,1
obama was so right. iss desh ka kya hoga. #shameless #aapstorm #aapsweep #chapelhillshooting #bihardrama http://t.co/n7x2vsetgd,2,2
"#fashionpollice pinstripes are not in this summer, use mufflers to beat the heat #aapsweep #aapstorm #theperfectstorm #67/70",1,1
#aapstorm. #feb10witharnab now bjp is complaining about behind the auto campaigns.,2,2
#aapkacm after #aapsweep. comeback man #arvindkejriwal to be sworn as #delhi's 8th cm at #ramlilamaidan. #kejriwalchecksin #aapstorm,1,2
the deadly combo modipmakcm #aapsweep #delhidecides #aapstorm #kiskidilli #modipmakcm,1,1
"finally goi has woken up after #aapstorm #aapsweep . good, better late than never #delhischoolattack @thenewshour",2,2
this is what people of delhi will get..rofl #aapsweep #aapstorm #uturnaap http://t.co/76svidqe1x,1,1
stellar show! now to prove ak67 can be more effective than the ak47. #aapsweep #aapstorm #delhidecides,1,1
valentine gift alluring pink &amp; white valentine ... - http://t.co/dw46dtwfxc #valentinesday #aapstorm #1daytomsg http://t.co/fe0nlreymq,1,2
"""trending india:01:38 pm ist"" 1. #aapsweep 2. #1daytomsg 3. #chapelhillshooting 4. happy hug day 5. #aapstorm 6. #datewithstk",2,1
bjp is taking congress's place. and congress is out the game #aapkidilli #aapstorm #delhidecides,1,1
"lol, you guys will love this #aapsweep #aapstorm #delhidecides http://t.co/l0nx0wvmj5",1,1
zero should be a synonym for congress! :p ;) #aapsweep #aapstorm #aap #delhielections,2,1
raj thackeray takes dig at #modi -shah duo over #aapstorm bringing down bjp! http://t.co/7ga0izktro,1,1
@saaxenanurag i know by the time list grows. acct balance recedes #swissleaks #aapsweep,2,2
rt @aartic02: wat a dayyyyy .. #aapsweep emotional exciting .. full of memories .. #mufflerman is the best one http://t.co/nqfbtndwxo,2,1
did #aap win because of #bjp 's faults or because of its potential? #aapsweep #aapstorm #delhidecides,2,1
"#aapsweep remember rajiv gandhi's opening statement after his massive win in 1984? ""peoples expectations are scarry"". watch out kejriwal.",1,1
simply unbelievable. ... historical ...i wish kejriwal to set grt standards in indian politics with all d honesty and values #aapsweep,2,2
"from feb 15, islamic state of delhi will be headed by caliph @arvindkejriwal and sharia law will be implemented. #unluckydelhi #aapsweep",1,1
what #kejriwal did to #modi is what pm did to #rahulgandhi in general elections 2014: @sardesairajdeep | #aapsweep | http://t.co/ndnfizplfd,2,1
what's common between the smallest prime number and the bjp in delhi? 3. #aapsweep,1,1
if i can worship both buddha and krishna at the same time why can't i like both @arvindkejriwal &amp; @narendramodi ? #aapsweep #kiskidilli,2,1
"landslide win.hip hip hurray.it's a message to all retarded bjp supporters,go hide your face somewhere,conclude,truth always wins #aapsweep",2,2
#aapsweep @aamaadmiparty cd now think of changing symbol from chadoo to vacuum cleaner! :) 67/70,2,2
"in the age of bjp &amp; modi's acche din, aap routing bjp is like bangladesh defeating australia by a margin of over 300 runs :) #aapsweep",1,2
"rt @headlinestoday: congratulations to every aap worker and leader, do well, wish you well: bjp's shazia ilmi #aapsweep",2,2
"@vidyut i am not sure, they would've, as ls election was different from state election. delhi janta is sensible. #aapsweep #aapkidilli",1,2
hope to see new age politics #aapsweep the ball is now in the court of #paanchsaalkejriwal. congrats dilli!,2,2
now bjp in delhi as if aap in center. #aapsweep #fb,1,1
#aapsweep the only person who take #swachhbharatabhiyan seriously is #arvindkejriwal #cleandelhi...,2,2
14k real gold #nipple #ring with bezel setting... http://t.co/uzijxgsdkz rt #overstock - http://t.co/m1zwufpijv #aapsweep #yungklasmeytmong,1,1
it is my suggestion: cm of delhi should be a muslim &amp; deputy cm a sikh. for strong secular message in india. ur suggestion? #aap #aapsweep,1,1
"if @bjp4india doesn't win in delhi, doesn't mean ppl lost faith. one shud understand, bjp didnt lose, it just didn't win #aapsweep",2,2
#aapsweep dangerous bagoda naxilite hugging strange woman. must get them married on 14th feb : vhp @arvindkejriwal http://t.co/nuxpqgmq67,1,2
rt @kumar_ke5hav: aap won badarpur seat by a huge margin. #aapsweep,2,1
"buy trap tithe now - http://t.co/qflyxmox6y , #chapelhillshooting #yungklasmeytmong #replaceamovietitlewithgoat #fenaolmaz #aapsweep #rt",1,1
@manavjivan i have doubt now .. did you vote to modi for 15 lacs ?? balck money will be used for new developing policies #aapsweep .,2,1
